id,stock_code,stock_name,oss_url,is_key_polluters,full_name,人工结果,自动化和人工对比结果
51176,002015,霞客环保,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/霞客环保/1206052551.PDF,不适用,江苏霞客环保色纺股份有限公司,不适用,相同
51544,600733,北汽蓝谷,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/北汽蓝谷/1206067612.PDF,不适用,北汽蓝谷新能源科技股份有限公司,不适用,相同
44581,600735,新华锦,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/新华锦/1205963733.PDF,不适用,山东新华锦国际股份有限公司,适用,不相同
44347,000977,浪潮信息,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/浪潮信息/1205955194.PDF,不适用,浪潮电子信息产业股份有限公司,不适用,相同
45017,600549,厦门钨业,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/厦门钨业/1206013619.PDF,不适用,厦门钨业股份有限公司,适用,不相同
43874,603595,东尼电子,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/东尼电子/1205923372.PDF,不适用,浙江东尼电子股份有限公司,不适用,相同
44506,300659,中孚信息,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/中孚信息/1205967067.PDF,不适用,中孚信息股份有限公司,不适用,相同
44254,600582,天地科技,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/天地科技/1205958538.PDF,不适用,天地科技股份有限公司,适用,不相同
51409,200168,舜喆B,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/舜喆B/1206072688.PDF,不适用,广东舜喆(集团)股份有限公司,不适用,相同
44177,600295,鄂尔多斯,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/鄂尔多斯/1205947687.PDF,不适用,内蒙古鄂尔多斯资源股份有限公司,适用,不相同
43831,601865,福莱特,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/福莱特/1205925522.PDF,不适用,福莱特玻璃集团股份有限公司,不适用,相同
44578,600616,金枫酒业,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/金枫酒业/1205963817.PDF,不适用,上海金枫酒业股份有限公司,适用,不相同
